t	y(t)
-4.000000	0.000000
-3.985986	0.000000
-3.971972	0.000000
-3.957958	0.000000
-3.943944	0.000000
-3.929930	0.000000
-3.915916	0.000000
-3.901902	0.000000
-3.887888	0.000000
-3.873874	0.000000
-3.859860	0.000000
-3.845846	0.000000
-3.831832	0.000000
-3.817818	0.000000
-3.803804	0.000000
-3.789790	0.000000
-3.775776	0.000000
-3.761762	0.000000
-3.747748	0.000000
-3.733734	0.000000
-3.719720	0.000000
-3.705706	0.000000
-3.691692	0.000000
-3.677678	0.000000
-3.663664	0.000000
-3.649650	0.000000
-3.635636	0.000000
-3.621622	0.000000
-3.607608	0.000000
-3.593594	0.000000
-3.579580	0.000000
-3.565566	0.000000
-3.551552	0.000000
-3.537538	0.000000
-3.523524	0.000000
-3.509510	0.000000
-3.495495	0.000000
-3.481481	0.000000
-3.467467	0.000000
-3.453453	0.000000
-3.439439	0.000000
-3.425425	0.000000
-3.411411	0.000000
-3.397397	0.000000
-3.383383	0.000000
-3.369369	0.000000
-3.355355	0.000000
-3.341341	0.000000
-3.327327	0.000000
-3.313313	0.000000
-3.299299	0.000000
-3.285285	0.000000
-3.271271	0.000000
-3.257257	0.000000
-3.243243	0.000000
-3.229229	0.000000
-3.215215	0.000000
-3.201201	0.000000
-3.187187	0.000000
-3.173173	0.000000
-3.159159	0.000000
-3.145145	0.000000
-3.131131	0.000000
-3.117117	0.000000
-3.103103	0.000000
-3.089089	0.000000
-3.075075	0.000000
-3.061061	0.000000
-3.047047	0.000000
-3.033033	0.000000
-3.019019	0.000000
-3.005005	0.000000
-2.990991	-2628.671555
-2.976977	-2520.434027
-2.962963	-2416.652695
-2.948949	-2317.144096
-2.934935	-2221.732319
-2.920921	-2130.248695
-2.906907	-2042.531501
-2.892893	-1958.425670
-2.878879	-1877.782521
-2.864865	-1800.459493
-2.850851	-1726.319895
-2.836837	-1655.232664
-2.822823	-1587.072132
-2.808809	-1521.717806
-2.794795	-1459.054151
-2.780781	-1398.970393
-2.766767	-1341.360315
-2.752753	-1286.122075
-2.738739	-1233.158022
-2.724725	-1182.374527
-2.710711	-1133.681816
-2.696697	-1086.993810
-2.682683	-1042.227973
-2.668669	-999.305170
-2.654655	-958.149522
-2.640641	-918.688273
-2.626627	-880.851665
-2.612613	-844.572811
-2.598599	-809.787576
-2.584585	-776.434468
-2.570571	-744.454524
-2.556557	-713.791212
-2.542543	-684.390325
-2.528529	-656.199888
-2.514515	-629.170067
-2.500501	-603.253077
-2.486486	-578.403104
-2.472472	-554.576217
-2.458458	-531.730296
-2.444444	-509.824954
-2.430430	-488.821466
-2.416416	-468.682703
-2.402402	-449.373064
-2.388388	-430.858412
-2.374374	-413.106019
-2.360360	-396.084501
-2.346346	-379.763768
-2.332332	-364.114969
-2.318318	-349.110438
-2.304304	-334.723652
-2.290290	-320.929178
-2.276276	-307.702630
-2.262262	-295.020626
-2.248248	-282.860746
-2.234234	-271.201495
-2.220220	-260.022262
-2.206206	-249.303284
-2.192192	-239.025612
-2.178178	-229.171077
-2.164164	-219.722258
-2.150150	-210.662453
-2.136136	-201.975644
-2.122122	-193.646476
-2.108108	-185.660224
-2.094094	-178.002770
-2.080080	-170.660578
-2.066066	-163.620668
-2.052052	-156.870595
-2.038038	-150.398425
-2.024024	-144.192719
-2.010010	-138.242505
-1.995996	-132.537264
-1.981982	-127.066911
-1.967968	-121.821775
-1.953954	-116.792584
-1.939940	-111.970448
-1.925926	-107.346841
-1.911912	-102.913591
-1.897898	-98.662861
-1.883884	-94.587135
-1.869870	-90.679209
-1.855856	-86.932174
-1.841842	-83.339407
-1.827828	-79.894555
-1.813814	-76.591531
-1.799800	-73.424493
-1.785786	-70.387844
-1.771772	-67.476216
-1.757758	-64.684461
-1.743744	-62.007643
-1.729730	-59.441032
-1.715716	-56.980090
-1.701702	-54.620466
-1.687688	-52.357989
-1.673674	-50.188659
-1.659660	-48.108642
-1.645646	-46.114260
-1.631632	-44.201988
-1.617618	-42.368445
-1.603604	-40.610390
-1.589590	-38.924715
-1.575576	-37.308440
-1.561562	-35.758709
-1.547548	-34.272780
-1.533534	-32.848028
-1.519520	-31.481934
-1.505506	-30.172082
-1.491491	-28.916158
-1.477477	-27.711941
-1.463463	-26.557302
-1.449449	-25.450200
-1.435435	-24.388679
-1.421421	-23.370860
-1.407407	-22.394946
-1.393393	-21.459211
-1.379379	-20.562000
-1.365365	-19.701728
-1.351351	-18.876874
-1.337337	-18.085979
-1.323323	-17.327647
-1.309309	-16.600535
-1.295295	-15.903358
-1.281281	-15.234885
-1.267267	-14.593933
-1.253253	-13.979370
-1.239239	-13.390108
-1.225225	-12.825107
-1.211211	-12.283367
-1.197197	-11.763931
-1.183183	-11.265880
-1.169169	-10.788334
-1.155155	-10.330449
-1.141141	-9.891415
-1.127127	-9.470457
-1.113113	-9.066830
-1.099099	-8.679820
-1.085085	-8.308744
-1.071071	-7.952945
-1.057057	-7.611794
-1.043043	-7.284689
-1.029029	-6.971051
-1.015015	-6.670326
-1.001001	-6.381982
-0.986987	-6.105508
-0.972973	-5.840418
-0.958959	-5.586241
-0.944945	-5.342529
-0.930931	-5.108851
-0.916917	-4.884793
-0.902903	-4.669960
-0.888889	-4.463972
-0.874875	-4.266464
-0.860861	-4.077088
-0.846847	-3.895509
-0.832833	-3.721405
-0.818819	-3.554469
-0.804805	-3.394407
-0.790791	-3.240934
-0.776777	-3.093779
-0.762763	-2.952683
-0.748749	-2.817396
-0.734735	-2.687679
-0.720721	-2.563302
-0.706707	-2.444046
-0.692693	-2.329700
-0.678679	-2.220061
-0.664665	-2.114937
-0.650651	-2.014140
-0.636637	-1.917493
-0.622623	-1.824826
-0.608609	-1.735973
-0.594595	-1.650779
-0.580581	-1.569092
-0.566567	-1.490768
-0.552553	-1.415669
-0.538539	-1.343661
-0.524525	-1.274619
-0.510511	-1.208418
-0.496496	-1.144944
-0.482482	-1.084082
-0.468468	-1.025726
-0.454454	-0.969773
-0.440440	-0.916124
-0.426426	-0.864683
-0.412412	-0.815360
-0.398398	-0.768068
-0.384384	-0.722722
-0.370370	-0.679244
-0.356356	-0.637556
-0.342342	-0.597584
-0.328328	-0.559257
-0.314314	-0.522509
-0.300300	-0.487273
-0.286286	-0.453489
-0.272272	-0.421095
-0.258258	-0.390034
-0.244244	-0.360253
-0.230230	-0.331698
-0.216216	-0.304318
-0.202202	-0.278066
-0.188188	-0.252894
-0.174174	-0.228759
-0.160160	-0.205617
-0.146146	-0.183428
-0.132132	-0.162153
-0.118118	-0.141753
-0.104104	-0.122194
-0.090090	-0.103440
-0.076076	-0.085457
-0.062062	-0.068216
-0.048048	-0.051684
-0.034034	-0.035832
-0.020020	-0.020633
-0.006006	-0.006060
0.008008	0.007913
0.022022	0.021310
0.036036	0.034156
0.050050	0.046474
0.064064	0.058284
0.078078	0.069608
0.092092	0.080466
0.106106	0.090876
0.120120	0.100858
0.134134	0.110429
0.148148	0.119607
0.162162	0.128406
0.176176	0.136843
0.190190	0.144932
0.204204	0.152689
0.218218	0.160126
0.232232	0.167257
0.246246	0.174095
0.260260	0.180651
0.274274	0.186937
0.288288	0.192964
0.302302	0.198743
0.316316	0.204284
0.330330	0.209597
0.344344	0.214691
0.358358	0.219576
0.372372	0.224259
0.386386	0.228750
0.400400	0.233056
